url,artist,name,artist_pop,track_pop,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,bpm,time_signature,duration_ms,app,release_date,image,songplay,C1,M1,K1,mode,key,camelot,
spotify:track:0T5iIrXA4p5GsubkhuBIKV,Stephen Sanchez,Until I Found You,74,90,0.539,0.508,-6.05,0.0288,0.727,0,0.174,0.227,101.358,3,177720,tiktok,9/1/2021,https://i.scdn.co/image/ab67616d0000b2738792c3e96f8ab97a767c5d0c,https://p.scdn.co/mp3-preview/930b8796b8040a10c40f41340c1c72d000beeb26?cid=774b29d4f13844c495f206cafdad9c86,10B,1,10,11,B,11B,
spotify:track:4qBMiRsJjtm1WR4KyAQqrX,Kreepa,Oh No,41,58,0.541,0.527,-7.438,0.147,0.00279,0.000509,0.286,0.429,176.123,4,166504,tiktok,12/13/2019,https://i.scdn.co/image/ab67616d0000b2738ed24495a6e5910b9c50bf0a,https://p.scdn.co/mp3-preview/3c8207e9d7c71163169cf4335314d984ea3cc72f?cid=774b29d4f13844c495f206cafdad9c86,11A,0,11,12,A,12A,
spotify:track:6Ole34qqbgkZ60IyrcVm7e,Post Malone,Cooped Up (with Roddy Ricch),89,83,0.669,0.773,-5.619,0.153,0.038,0,0.113,0.377,93.923,4,185857,tiktok,10/21/2022,https://i.scdn.co/image/ab67616d0000b273ab9f26db4d9b84e4159743b4,https://p.scdn.co/mp3-preview/7b06cf88b91aad3462b00d700d0dad0cdad5cc65?cid=774b29d4f13844c495f206cafdad9c86,0B,1,0,1,B,1B,
spotify:track:5vUnjhBzRJJIAOJPde6zDx,Jnr Choi,TO THE MOON,63,79,0.745,0.65,-11.814,0.346,0.0451,0.00758,0.111,0.386,144.047,4,152137,tiktok,11/6/2021,https://i.scdn.co/image/ab67616d0000b2739af8418ffb638b3306a07714,https://p.scdn.co/mp3-preview/6bcfb68ac0bc2d60ff981ec6e19c9c4ff9e66612?cid=774b29d4f13844c495f206cafdad9c86,2B,1,2,3,B,3B,
spotify:track:5CvkKN8sEEmCIO5Me3dqBq,Astelle,Dreamer,32,42,0.744,0.848,-5.073,0.0993,0.0811,1.12E-05,0.0889,0.823,150.056,4,178913,tiktok,8/12/2022,https://i.scdn.co/image/ab67616d0000b273c4e4060aa4ce07a1d7114185,https://p.scdn.co/mp3-preview/69b724b89ed2c26f734b032252a49cc135128711?cid=774b29d4f13844c495f206cafdad9c86,9A,0,9,10,A,10A,
spotify:track:0mBP9X2gPCuapvpZ7TGDk3,sped up nightcore,Left and Right (Charlie Puth) [feat. Jung Kook of BTS] - Sped Up Version,63,58,0.827,0.456,-9.246,0.0942,0.622,9.79E-05,0.109,0.689,114.269,4,135978,tiktok,6/24/2022,https://i.scdn.co/image/ab67616d0000b2731c069c836dc6cd5b34c310fe,https://p.scdn.co/mp3-preview/7b872d741e9af03f02569b2f1f5b7e738c573d34?cid=774b29d4f13844c495f206cafdad9c86,5B,1,5,6,B,6B,
spotify:track:6nCGuH4cs03pq76E2joqhE,YES YES,Pepas,54,58,0.691,0.823,-4.974,0.0626,0.0235,0,0.0781,0.149,125.973,4,134330,tiktok,7/15/2022,https://i.scdn.co/image/ab67616d0000b273e5dd1d303977d36d7a979d7a,https://p.scdn.co/mp3-preview/167c3c9ef0c1a68f9acdfeef5bc9ae2d0909da78?cid=774b29d4f13844c495f206cafdad9c86,7B,1,7,8,B,8B,
spotify:track:0QBzMgT7NIeoCYy3sJCof1,Camila Cabello,Bam Bam (feat. Ed Sheeran),82,83,0.756,0.697,-6.377,0.0401,0.182,0,0.333,0.956,94.996,4,206071,tiktok,3/4/2022,https://i.scdn.co/image/ab67616d0000b273364ef5f9057092741f667fea,https://p.scdn.co/mp3-preview/c7d17a94330a3789118aa4d7a8823fcc1f049125?cid=774b29d4f13844c495f206cafdad9c86,8B,1,8,9,B,9B,
spotify:track:6vfgd1ZkrPqLZkU2n1ngoq,XY&O,Fever - Remix,31,0,0.782,0.586,-6.067,0.0567,0.0608,0.00409,0.115,0.724,120.018,4,156000,tiktok,8/19/2022,https://i.scdn.co/image/ab67616d0000b2735879d39287f94890dd3ab8ab,https://p.scdn.co/mp3-preview/17b305dce7fcd9008865f809175db836cd2c5277?cid=774b29d4f13844c495f206cafdad9c86,10A,0,10,11,A,11A,
spotify:track:5iXoVs2PZiuZ9J84MT09bt,P.S.,On My Way!,39,54,0.797,0.666,-6.588,0.0363,0.167,0.000131,0.104,0.855,119.021,4,177080,tiktok,7/8/2022,https://i.scdn.co/image/ab67616d0000b273268c1cf12afa58a172f69dda,https://p.scdn.co/mp3-preview/c5d1958bf2116e0808bcdfb0c99bc1ab369aae0f?cid=774b29d4f13844c495f206cafdad9c86,0A,0,0,1,A,1A,
spotify:track:7otCGmgp9h4CsR2LhwB6gt,Tom Odell,Another Love,74,89,0.445,0.537,-8.532,0.04,0.695,1.65E-05,0.0944,0.131,122.769,4,244360,tiktok,9/17/2013,https://i.scdn.co/image/ab67616d0000b273c894dbea54813d89d2e92f12,https://p.scdn.co/mp3-preview/6538345e9350784c0c56bf12acc6144f94789240?cid=774b29d4f13844c495f206cafdad9c86,4A,0,4,5,A,5A,
spotify:track:2II03llydk4YnkBBvoYB3B,Madonna,Frozen,77,76,0.706,0.633,-9.584,0.0419,0.267,0.0192,0.175,0.375,110.005,4,120157,tiktok,3/3/1998,https://i.scdn.co/image/ab67616d0000b273ae2ab7e940779984d3255c09,https://p.scdn.co/mp3-preview/5403068ed3d62992c7c9348ced00531db6caab0c?cid=774b29d4f13844c495f206cafdad9c86,1B,1,1,2,B,2B,
spotify:track:0W41SRfxknKwHBc2oaYcAQ,Viva La Panda,Riptide,56,51,0.621,0.847,-6.108,0.278,0.0584,1.11E-06,0.109,0.373,101.996,4,172431,tiktok,8/5/2022,https://i.scdn.co/image/ab67616d0000b2736baa186a7bf01a9c4eacf63e,https://p.scdn.co/mp3-preview/d945451bf82d1c8edf152d621ab3e7514ea9cf4e?cid=774b29d4f13844c495f206cafdad9c86,3B,1,3,4,B,4B,
spotify:track:7AVyve7cFYTd51ha5i9kE2,Luude,Down Under (feat. Colin Hay),68,72,0.308,0.861,-4.112,0.172,0.012,0.00103,0.277,0.0386,171.966,4,158774,tiktok,11/19/2021,https://i.scdn.co/image/ab67616d0000b273aad205f4a52b5c988d86c25f,https://p.scdn.co/mp3-preview/67609a75ab776ccd08455b91706451946e2508ab?cid=774b29d4f13844c495f206cafdad9c86,11A,0,11,12,A,12A,
spotify:track:07MDkzWARZaLEdKxo6yArG,THE ANXIETY,Meet Me At Our Spot,65,81,0.773,0.47,-7.93,0.0299,0.0153,0.000193,0.0851,0.399,94.995,4,162680,tiktok,3/13/2020,https://i.scdn.co/image/ab67616d0000b273024ea7e883a713a3ad552a71,https://p.scdn.co/mp3-preview/2c33a1650a15267b8d3fe052d5ec950574d69afe?cid=774b29d4f13844c495f206cafdad9c86,2B,1,2,3,B,3B,
spotify:track:7KFDDJNjF7CpnX1pHU8z8V,Paradigm,When You're Gone,62,53,0.783,0.753,-5.003,0.325,0.0117,0,0.139,0.663,124.036,4,145161,tiktok,8/5/2022,https://i.scdn.co/image/ab67616d0000b273841cac4d8ecbb06783a2a2e9,https://p.scdn.co/mp3-preview/a6f42619fae0453a20a5cc0cfd8a1de0eedad7d2?cid=774b29d4f13844c495f206cafdad9c86,11B,1,11,12,B,12B,
spotify:track:6juJT2C2SaaH7S2lbUCh3e,Taylor Watson,That Bxtch,29,47,0.645,0.681,-5.961,0.139,0.037,0,0.0783,0.458,163.87,4,142644,tiktok,4/22/2022,https://i.scdn.co/image/ab67616d0000b273bbe81481bcda7e42a21174ac,https://p.scdn.co/mp3-preview/2e1244cc8678a809cc1e74051148b2d1e6050197?cid=774b29d4f13844c495f206cafdad9c86,4B,1,4,5,B,5B,
spotify:track:5KV3n2x5xhuncoftBjaB4j,HotBlock Jmoe,Long Road,34,52,0.738,0.685,-8.113,0.409,0.135,0,0.4,0.663,162.039,4,204000,tiktok,7/14/2022,https://i.scdn.co/image/ab67616d0000b2731be49032a6571e829113e6cf,https://p.scdn.co/mp3-preview/a7455d5e19051649cb8a1c4788fbcb7ef8fe6ed0?cid=774b29d4f13844c495f206cafdad9c86,10A,0,10,11,A,11A,
spotify:track:4kHMIktiFnafGWwXcm5F6k,John De Sohn,Without You,61,0,0.643,0.745,-5.554,0.0619,0.0449,0,0.0916,0.461,124.968,4,182613,tiktok,8/19/2022,https://i.scdn.co/image/ab67616d0000b2736d3c7f13cfc9bf78bb6c5dfc,https://p.scdn.co/mp3-preview/b039225ba37ea11d26bb91073646f64dbb6b2e14?cid=774b29d4f13844c495f206cafdad9c86,5A,0,5,6,A,6A,
spotify:track:3AVXwaOGCEL8cmBecfcsFJ,Charlie Puth,Light Switch,83,79,0.69,0.626,-5.693,0.306,0.105,0.000335,0.0881,0.912,184.009,4,185681,tiktok,1/19/2022,https://i.scdn.co/image/ab67616d0000b273101337d65122832b36bfc928,https://p.scdn.co/mp3-preview/4c94281d33ab4829166ef70d0b2f3e05a136c639?cid=774b29d4f13844c495f206cafdad9c86,6B,1,6,7,B,7B,
spotify:track:1QdG8vTxu6odgFKCP9oKNC,Alex Alexander,I Wanna Know,46,52,0.772,0.754,-4.57,0.05,0.348,0.397,0.0784,0.88,112.043,4,149787,tiktok,6/24/2022,https://i.scdn.co/image/ab67616d0000b273b7393d9fa9b3596211ef76a2,https://p.scdn.co/mp3-preview/0bbe094b98e0af4371bc2f425fd738ca8cc2bed1?cid=774b29d4f13844c495f206cafdad9c86,9A,0,9,10,A,10A,
spotify:track:4QtiVmuA88tPQiCOHZuQ5b,Sofía Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",72,82,0.792,0.895,-3.112,0.0589,0.165,0,0.0501,0.794,94.968,4,201526,tiktok,2/16/2018,https://i.scdn.co/image/ab67616d0000b273775d1e288c04237d896e8357,https://p.scdn.co/mp3-preview/f4bd281193a6863ddedd32093405dde261c1426a?cid=774b29d4f13844c495f206cafdad9c86,1A,0,1,2,A,2A,
spotify:track:6O60V4oWKJzCyqbvmzzuRx,Kinrose,credit union,41,32,0.776,0.656,-8.921,0.13,0.329,0,0.119,0.649,148.95,4,183465,tiktok,7/28/2022,https://i.scdn.co/image/ab67616d0000b273133cc25200ad332260c2e12a,https://p.scdn.co/mp3-preview/1e4ed547965fc4a07fc8ab4ca5f923e84349da5c?cid=774b29d4f13844c495f206cafdad9c86,4A,0,4,5,A,5A,
spotify:track:2Xr1dTzJee307rmrkt8c0g,CKay,love nwantiti (ah ah ah),73,84,0.727,0.739,-3.805,0.0411,0.365,0.00137,0.161,0.533,93.005,4,145800,tiktok,8/30/2019,https://i.scdn.co/image/ab67616d0000b273405fdad252857e01dbced96a,https://p.scdn.co/mp3-preview/793f76ef025906b417e69065c587f04725d2e6cd?cid=774b29d4f13844c495f206cafdad9c86,8B,1,8,9,B,9B,
spotify:track:3rmo8F54jFF8OgYsqTxm5d,Ed Sheeran,Bad Habits,90,22,0.808,0.897,-3.712,0.0348,0.0469,3.14E-05,0.364,0.591,126.026,4,231041,tiktok,10/29/2021,https://i.scdn.co/image/ab67616d0000b273ef24c3fdbf856340d55cfeb2,https://p.scdn.co/mp3-preview/043f28a973add316f01a36a68f870f588d1dbb8e?cid=774b29d4f13844c495f206cafdad9c86,11A,0,11,12,A,12A,
spotify:track:4qgEdEx2VbNCXQOsV9Qem7,Alex Alexander,Leap of Faith,46,51,0.557,0.802,-4.429,0.0541,0.00924,0.000708,0.569,0.778,169.893,4,191080,tiktok,5/20/2022,https://i.scdn.co/image/ab67616d0000b2734529bf96d3f08d0a4477e738,https://p.scdn.co/mp3-preview/08d7792ba156d7a5da2e07349f4ddf584f07382a?cid=774b29d4f13844c495f206cafdad9c86,0B,1,0,1,B,1B,
spotify:track:2HvEpDoHYlGDgxgAj3rvaY,Farux,Ocean Eyes,45,42,0.729,0.763,-7.677,0.0345,0.668,0.0264,0.147,0.113,125.989,4,137029,tiktok,8/12/2022,https://i.scdn.co/image/ab67616d0000b273cf314e7f96c4fbdc683b93f8,https://p.scdn.co/mp3-preview/4b77cc1799808763ac796635bfeba00afedef556?cid=774b29d4f13844c495f206cafdad9c86,6B,1,6,7,B,7B,
spotify:track:5WT4iHghHUOJkbxPq8MryJ,Girll Codee,Chaa Chaa Chaa (feat. HoodCelebrityy),29,45,0.808,0.592,-6.382,0.415,0.431,0,0.426,0.628,139.925,4,185376,tiktok,5/27/2022,https://i.scdn.co/image/ab67616d0000b273a7745ba1813e2544c76c2cdf,https://p.scdn.co/mp3-preview/5b18c15698b165576df2c09c45dd146b1f107439?cid=774b29d4f13844c495f206cafdad9c86,2B,1,2,3,B,3B,
